ugel;distrito;provincia;departamento;Nivel/ Modalidad;nª _II.EE;total_alumnos;cant_alumn_hombres;cant_alumn_mujeres;num_secciones;num_docentes;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1301;1;10;4;6;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1302;1;10;7;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1303;1;18;9;9;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1304;1;12;6;6;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1305;1;6;4;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1306;1;6;3;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1307;1;13;7;6;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1308;1;3;1;2;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1309;1;10;7;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1310;1;10;6;4;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1311;1;13;5;8;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1312;1;12;8;4;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1313;1;7;3;4;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1314;1;7;3;4;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;1315;1;5;2;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;138 HIGH SCHOOL;1;200;91;109;9;8;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;139 YOLANDA VALLE LAZO;1;122;58;64;6;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;143;1;43;18;25;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;172;1;16;6;10;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30232 SAN ISIDRO LABRADOR;1;35;13;22;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30287;1;82;49;33;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30295;1;7;4;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30316 PEDRO PABLO GARCIA TAPIA;1;38;23;15;4;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30326;1;95;57;38;6;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30327;1;0;0;0;0;0;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30345;1;7;2;5;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30346;1;4;2;2;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30363;1;7;5;2;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30364;1;9;3;6;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30378;1;5;2;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30380;1;5;0;5;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30402;1;5;2;3;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31242;1;5;3;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31413;1;6;4;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31511 LORENZO ALCALA POMALAZA;1;172;84;88;7;7;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31940;1;32;17;15;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;346;1;33;17;16;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;368;1;49;29;20;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;377 LAS ESTRELLITAS DE LA VIRGEN DE OCOPA;1;56;30;26;4;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;393;1;38;23;15;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;400 VIRGEN DEL ROSARIO;1;20;7;13;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;401;1;15;11;4;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;410;1;28;17;11;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;417;1;64;35;29;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;418;1;64;37;27;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;425 CIENTIFICO ECOLOGICO;1;33;17;16;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;429;1;53;25;28;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;453;1;21;15;6;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;454;1;22;9;13;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;455;1;18;11;7;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;459;1;10;5;5;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;460;1;14;9;5;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;461 LIDERES DEL MAÑANA;1;12;12;0;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;464;1;8;4;4;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;479;1;13;6;7;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;485;1;17;10;7;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;493;1;26;12;14;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;499;1;18;7;11;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;522;1;6;3;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;523;1;4;1;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;547;1;22;12;10;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;562;1;26;13;13;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;595;1;12;8;4;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;596;1;22;13;9;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;597;1;44;25;19;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;598;1;9;7;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;632;1;24;17;7;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;636;1;4;2;2;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;654 NIÑO JESUS DE PRAGA;1;6;3;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;661;1;17;6;11;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;662;1;4;2;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;712;1;6;3;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;716;1;10;4;6;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;722;1;17;11;6;2;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;729;1;33;17;16;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;731;1;9;2;7;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;732;1;17;8;9;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;9 DE JULIO;1;66;33;33;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ABC PRISMA;1;9;6;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;AMAUTA;1;24;11;13;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANDRES AVELINO CACERES DORREGARAY;1;37;20;17;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;EBENEZER;1;39;18;21;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;HEROINAS TOLEDO;1;31;17;14;1;1;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;HOGAR DE JESUS;1;15;7;8;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;JOSE MARIA ARGUEDAS;1;10;4;6;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;MAX PLANCK;1;8;4;4;2;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;PRISMA;1;46;27;19;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;SAGRADA FAMILIA;1;67;31;36;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;SMART SCHOOL;1;38;20;18;3;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;TINKUY AYLLU;1;39;19;20;4;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;Inicial - Programa no escolarizado;56;353;184;169;0;132;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGEL GABRIEL;1;5;3;2;0;1;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DE CAÑA;1;7;5;2;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DE DIOS;1;6;2;4;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DE LA ASCENCION;1;7;3;4;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DE LA VIRGEN DE GUADALUPE;1;9;4;5;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DE LA VIRGEN MARIA;1;4;2;2;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DE MARANCOCHA;1;0;0;0;0;0;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DE MARIA;1;11;7;4;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DE PACAYBAMBA;1;4;3;1;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DE RAMBRAS;1;9;6;3;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ANGELITOS DEL CIELO;1;7;3;4;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;BELEN DE JESUS;1;6;4;2;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;CASACANCHA;1;8;2;6;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;CEDRUYO;1;4;3;1;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;CHACA;1;6;3;3;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;CHISPITAS DE AMOR;1;8;3;5;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;CHUICON;1;4;1;3;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;CRAYOLITAS DE SOCOS;1;7;5;2;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;CRUZ DE DOS DE MAYO;1;9;2;7;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;DIVINO NIÑO JESUS;1;7;2;5;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;DOS DE MAYO;1;3;3;0;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;DULCE ESPERANZA;1;4;3;1;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ESTRELLITAS DE BELEN;1;7;4;3;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;ESTRELLITAS DEL CIELO I;1;7;4;3;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;GOTITAS DE ROCIO;1;7;3;4;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;GUADALUPE;1;7;2;5;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;HUALI;1;5;4;1;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;HUANCHAR;1;7;4;3;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;JATUNHUASI;1;5;1;4;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LA FLORIDA;1;9;7;2;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LA LIBERTAD;2;14;8;6;0;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LA UNION;1;5;3;2;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LAGUNITAS DE PUCÑA;1;4;3;1;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LAS ORQUIDEAS DE IPNA;1;5;2;3;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LAUCA;1;8;6;2;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LAYAMNIO;1;10;3;7;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LOS ANGELITOS;1;6;5;1;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LOS ANGELITOS DE TODOS LOS SANTOS;1;9;4;5;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;LUCERITO DE JESUS;1;8;4;4;0;1;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;MANITOS DE AMOR;1;8;6;2;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;MANZANAYO;1;2;0;2;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;MARANCOCHA;1;8;2;6;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;MARIA AUXILIADORA;1;7;4;3;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;MONTEHUASI;1;2;1;1;0;1;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;PALO SECO;1;11;5;6;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;PEQUEÑOS TRIUNFADORES;1;7;2;5;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;PUSACPAMPA;1;4;1;3;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;QUISHUAR;1;2;1;1;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;RAYITOS DE LUZ;1;7;4;3;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;SAN PEDRO II;1;3;2;1;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;TAMBO;1;6;6;0;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;TUNZO BAJO;1;5;2;3;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;VIENA;1;7;4;3;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;VILLATULO;1;4;2;2;0;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;VIREGEN DE COCHARCAS;1;12;6;6;0;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;Primaria;141;6160;3131;3029;494;779;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30001-77;1;6;4;2;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30182;1;6;4;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30229;1;82;38;44;10;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30230;1;18;12;6;2;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30232 SAN ISIDRO LABRADOR;1;72;38;34;8;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30252;1;4;1;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30253 SAN MARTIN DE PORRES;1;4;1;3;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30254 NIÑO JESUS DE PRAGA;1;12;5;7;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30259;1;5;4;1;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30261-1;1;8;4;4;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30283 SAGRADO CORAZON DE JESUS;1;634;304;330;35;27;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30283-1;1;3;0;3;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30284 CAAA;1;23;11;12;1;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30284-1;1;9;5;4;1;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30284-2;1;3;2;1;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30285;1;15;5;10;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30287;1;82;45;37;4;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30287-1;1;9;5;4;1;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30288 NICOLAS AGUILAR ZUÑIGA;1;87;49;38;7;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30288-1 NUESTRA SEÑORA DEL CARMEN;1;24;14;10;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30289;1;43;20;23;4;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30290 VIRGEN PURISIMA;1;34;17;17;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30291;1;76;37;39;6;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30293;1;108;54;54;10;7;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30294;1;13;6;7;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30295 WALTER PEÑALOZA RAMELLA;1;44;24;20;4;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30296;1;6;3;3;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30297;1;53;25;28;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30298;1;80;49;31;7;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30299;1;15;11;4;2;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30300;1;84;38;46;7;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30302;1;74;37;37;8;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30303;1;46;17;29;5;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30304;1;27;13;14;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30310;1;32;18;14;4;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30311;1;44;22;22;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30314;1;35;15;20;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30316 PEDRO PABLO GARCIA TAPIA;1;113;53;60;8;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30317 VIRGEN DE ASUNCION;1;76;50;26;6;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30318;1;129;62;67;6;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30319;1;85;45;40;6;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30321;1;61;25;36;5;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30323;1;17;13;4;2;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30325 JESUS CASTILLO ZAMUDIO;1;121;64;57;10;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30326;1;223;120;103;14;12;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30327;1;198;108;90;13;12;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30328;1;37;12;25;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30339;1;3;1;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30342;1;43;19;24;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30343;1;10;4;6;2;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30344;1;24;7;17;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30345;1;16;10;6;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30346;1;14;8;6;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30347;1;3;1;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30348;1;34;14;20;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30349;1;30;15;15;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30350;1;5;3;2;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30351;1;13;7;6;1;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30352;1;36;18;18;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30353;1;5;2;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30354;1;7;4;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30355;1;10;6;4;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30356;1;8;4;4;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30357;1;19;9;10;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30360;1;33;18;15;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30361;1;8;3;5;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30362;1;6;1;5;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30363;1;15;12;3;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30364;1;16;8;8;1;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30366;1;6;2;4;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30367;1;38;18;20;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30368;1;5;3;2;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30369;1;7;2;5;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30370;1;6;5;1;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30371;1;6;3;3;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30372;1;19;10;9;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30373;1;19;9;10;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30374;1;17;10;7;2;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30375;1;3;2;1;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30377;1;2;2;0;1;2;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30378;1;7;2;5;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30380;1;14;10;4;1;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30381;1;16;9;7;2;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30382;1;13;9;4;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30383 EFRAIN VEGA RAMIREZ;1;3;1;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30384 ALFONSO UGARTE;1;10;7;3;1;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30385;1;6;0;6;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30386;1;7;3;4;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30387;1;7;4;3;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30393;1;5;3;2;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30397;1;63;27;36;6;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30398;1;11;6;5;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30399;1;28;15;13;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30401;1;17;10;7;2;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30402;1;4;3;1;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30420-1;1;6;5;1;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30431;1;3;1;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30485;1;8;5;3;1;4;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30489 SANTA ROSA;1;8;4;4;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30576;1;14;8;6;1;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30888-1 JOSE GALVEZ;1;15;6;9;1;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;30906;1;12;5;7;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31183;1;20;11;9;2;5;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31184;1;4;2;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31185;1;3;1;2;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31186;1;34;15;19;3;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31223;1;3;2;1;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31224;1;5;4;1;1;3;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31225;1;12;8;4;2;6;
UGEL CONCEPCION;CONCEPCION;CONCEPCION;JUNIN;31242;1;23;12;11;2;6;
