ugel;distrito;provincia;departamento;Nivel/ Modalidad;nª _II.EE;total_alumnos;cant_alumn_hombres;cant_alumn_mujeres;num_secciones;num_docentes;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;1410;1;25;16;9;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;1412;1;13;7;6;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;1413;1;9;5;4;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;1421;1;38;27;11;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;1422;1;13;6;7;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;1423;1;28;11;17;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;1425;1;6;2;4;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;1426 PAULO FREIRE;1;12;4;8;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;171;1;31;13;18;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;203 MARIA AUXILIADORA;1;193;82;111;9;8;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;237;1;165;88;77;6;6;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;240;1;103;63;40;4;4;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;245;1;31;13;18;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;248;1;89;63;26;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;250;1;12;7;5;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;251;1;67;36;31;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;259;1;35;16;19;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;265;1;47;26;21;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;267;1;82;48;34;4;4;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;270;1;13;10;3;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;272;1;51;25;26;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;273;1;6;5;1;1;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;274;1;6;0;6;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;277;1;99;58;41;4;4;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;280;1;10;5;5;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;281;1;42;24;18;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30001-192;1;5;3;2;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30001-75;1;6;4;2;1;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30075;1;9;6;3;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30545;1;51;26;25;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30754 VIRGEN DEL CARMEN;1;119;56;63;5;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30756;1;8;3;5;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30758;1;17;8;9;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30765 JUAN SANTOS ATAHUALPA;1;108;55;53;5;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30857;1;5;3;2;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30860;1;26;12;14;1;6;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30868;1;3;2;1;1;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30873;1;15;11;4;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30875;1;17;8;9;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30876;1;36;18;18;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30879;1;21;13;8;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30882;1;24;11;13;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30904;1;23;11;12;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30914;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30916;1;18;10;8;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30918;1;16;7;9;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30941;1;6;3;3;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;30958;1;12;6;6;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31064;1;4;4;0;1;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31231;1;7;1;6;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31261;1;17;11;6;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31264;1;44;21;23;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31266;1;23;17;6;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31268;1;7;3;4;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31293;1;6;2;4;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31297;1;8;6;2;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31303;1;11;6;5;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31436;1;29;18;11;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31438;1;4;2;2;1;1;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31451;1;11;5;6;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31467;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31487;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31494;1;9;3;6;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31496;1;19;12;7;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31497;1;23;12;11;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31579;1;27;13;14;2;3;
